dep;sexe;jour;hosp;rea;rad;dc;hosp_h;rea_h;rad_h;dc_h;hosp_f;rea_f;rad_f;dc_f
79;0;07/04/2020;32;8;14;8;15;4;7;4;17;4;7;4
80;0;07/04/2020;351;75;185;96;187;51;92;62;161;24;89;34
81;0;07/04/2020;58;27;34;5;31;17;19;4;26;10;15;1
82;0;07/04/2020;18;9;6;3;16;8;3;3;2;1;3;0
83;0;07/04/2020;233;61;264;46;139;48;141;24;94;13;123;22
84;0;07/04/2020;86;23;85;16;55;17;37;8;31;6;48;8
85;0;07/04/2020;72;22;44;16;43;16;22;10;29;6;22;6
86;0;07/04/2020;59;25;40;19;39;20;19;8;20;5;21;11
87;0;07/04/2020;68;19;32;10;28;11;17;6;40;8;14;4
88;0;07/04/2020;253;35;222;128;131;24;109;78;121;11;111;50
89;0;07/04/2020;94;19;48;17;52;17;23;13;41;2;25;4
90;0;07/04/2020;216;43;188;94;134;33;105;55;82;10;83;39
91;0;07/04/2020;958;215;363;147;535;148;220;91;409;61;143;55
92;0;07/04/2020;1932;440;1085;377;1190;327;603;224;730;110;474;150
93;0;07/04/2020;1461;241;628;368;872;169;372;223;573;66;253;143
94;0;07/04/2020;1956;302;784;400;1075;220;443;240;843;80;332;152
95;0;07/04/2020;866;173;761;282;543;123;423;191;320;49;335;91
971;0;07/04/2020;34;17;43;8;23;15;19;3;11;2;24;5
972;0;07/04/2020;51;19;41;4;34;14;20;3;17;5;21;1
973;0;07/04/2020;7;1;8;0;4;1;6;0;1;0;2;0
974;0;07/04/2020;37;4;52;0;22;4;23;0;15;0;29;0
976;0;07/04/2020;16;3;17;2;10;3;10;2;6;0;7;0
1;0;08/04/2020;124;34;105;31;67;21;62;19;54;12;39;12
2;0;08/04/2020;260;39;230;119;143;26;97;69;116;13;131;48
3;0;08/04/2020;53;21;67;10;26;12;28;5;25;9;39;5
4;0;08/04/2020;30;3;58;4;12;2;25;3;17;1;33;1
5;0;08/04/2020;61;16;53;2;34;10;31;0;27;6;22;2
6;0;08/04/2020;258;87;208;56;148;64;96;31;100;17;107;23
7;0;08/04/2020;107;20;156;35;62;14;60;21;34;2;80;9
8;0;08/04/2020;75;17;39;7;40;12;27;4;33;4;12;3
9;0;08/04/2020;20;4;10;1;11;3;5;0;7;1;4;1
10;0;08/04/2020;153;24;54;47;86;18;29;34;66;6;24;12
11;0;08/04/2020;73;14;79;34;44;12;39;25;29;2;40;9
12;0;08/04/2020;52;8;47;14;30;6;26;7;22;2;21;7
13;0;08/04/2020;1107;253;991;144;650;173;489;80;444;80;478;61
14;0;08/04/2020;156;57;68;29;87;43;37;23;68;14;31;5
15;0;08/04/2020;26;9;8;0;16;6;4;0;10;3;4;0
16;0;08/04/2020;11;4;28;8;4;2;16;5;6;1;12;3
17;0;08/04/2020;91;24;50;21;58;20;24;13;33;4;26;8
18;0;08/04/2020;51;15;25;26;26;12;16;14;25;3;9;12
19;0;08/04/2020;43;9;26;11;23;6;15;11;19;2;11;0
21;0;08/04/2020;310;74;336;94;167;48;148;58;143;26;185;36
22;0;08/04/2020;66;13;45;14;31;10;23;7;35;3;22;7
23;0;08/04/2020;28;9;5;4;15;6;3;2;13;3;2;2
24;0;08/04/2020;23;6;23;1;14;4;13;1;9;2;10;0
25;0;08/04/2020;199;81;205;59;120;62;105;36;76;17;98;22
26;0;08/04/2020;247;66;168;69;153;50;87;41;92;14;81;28
27;0;08/04/2020;50;6;40;28;33;5;17;12;16;1;23;16
28;0;08/04/2020;177;31;124;36;93;21;62;20;76;9;55;16
29;0;08/04/2020;102;43;66;11;65;34;31;7;37;9;34;4
2A;0;08/04/2020;81;19;45;29;34;14;20;20;47;5;25;9
2B;0;08/04/2020;9;2;65;3;2;0;34;3;7;2;31;0
30;0;08/04/2020;104;41;66;21;64;35;40;14;40;6;26;7
31;0;08/04/2020;229;108;191;21;158;89;96;16;70;18;95;5
32;0;08/04/2020;29;4;14;8;17;4;9;6;12;0;5;2
33;0;08/04/2020;290;89;392;58;171;69;169;26;119;20;222;32
34;0;08/04/2020;240;69;299;60;141;54;127;37;97;15;171;23
35;0;08/04/2020;162;46;113;27;88;32;72;18;74;14;41;9
36;0;08/04/2020;63;11;16;25;38;5;3;16;25;6;13;9
37;0;08/04/2020;192;60;82;23;97;43;48;18;94;16;34;5
38;0;08/04/2020;228;55;172;35;123;45;85;23;103;10;85;12
39;0;08/04/2020;100;12;50;19;40;6;27;10;60;6;23;9
40;0;08/04/2020;29;14;25;6;18;9;16;4;11;5;9;2
41;0;08/04/2020;91;16;47;16;58;12;23;9;33;4;24;7
42;0;08/04/2020;475;104;243;90;279;82;128;68;193;22;113;22
43;0;08/04/2020;22;7;39;4;12;7;14;3;10;0;25;1
44;0;08/04/2020;263;66;179;54;157;53;97;32;105;13;81;22
45;0;08/04/2020;263;80;141;28;156;64;67;19;106;16;74;9
46;0;08/04/2020;17;9;39;1;10;6;17;0;7;3;22;1
47;0;08/04/2020;29;7;16;3;16;5;8;3;13;2;8;0
48;0;08/04/2020;6;1;11;0;3;1;7;0;3;0;4;0
49;0;08/04/2020;182;52;206;47;112;40;101;29;68;11;105;18
50;0;08/04/2020;65;23;43;17;39;20;21;6;23;2;21;10
51;0;08/04/2020;374;63;347;104;209;49;153;62;160;14;190;41
52;0;08/04/2020;107;16;58;37;57;10;35;14;50;6;23;23
53;0;08/04/2020;74;15;25;13;33;10;12;7;41;5;13;6
54;0;08/04/2020;480;163;334;136;252;112;160;80;209;44;158;55
55;0;08/04/2020;164;23;147;39;91;19;79;22;71;4;68;17
56;0;08/04/2020;154;34;149;55;97;30;77;32;57;4;72;23
57;0;08/04/2020;1002;167;692;414;539;110;344;243;457;56;343;169
58;0;08/04/2020;36;9;11;7;15;7;2;4;21;2;9;3
59;0;08/04/2020;895;273;526;197;494;203;283;110;388;68;242;85
60;0;08/04/2020;424;70;360;188;217;53;200;112;199;16;159;75
61;0;08/04/2020;68;14;78;12;43;13;31;7;25;1;47;5
62;0;08/04/2020;434;119;258;74;244;94;139;44;188;25;117;30
63;0;08/04/2020;74;37;66;14;50;28;33;7;24;9;33;7
64;0;08/04/2020;88;28;79;14;43;18;41;11;45;10;38;3
65;0;08/04/2020;62;7;33;7;33;5;20;2;28;2;13;5
66;0;08/04/2020;91;31;162;19;49;25;69;8;42;6;93;11
67;0;08/04/2020;1077;274;782;318;626;203;429;191;437;67;352;125
68;0;08/04/2020;1028;152;1106;548;536;101;600;343;490;51;505;201
69;0;08/04/2020;1150;271;834;273;616;206;406;147;531;65;398;117
70;0;08/04/2020;87;18;85;45;48;10;47;26;39;8;37;19
71;0;08/04/2020;191;36;211;75;106;26;100;43;85;10;110;32
72;0;08/04/2020;116;24;105;22;65;16;53;13;51;8;52;9
73;0;08/04/2020;122;31;149;20;67;23;76;12;54;8;72;8
74;0;08/04/2020;280;81;323;73;171;63;177;44;107;18;139;29
75;0;08/04/2020;3154;855;1654;732;1885;634;980;480;1239;219;660;245
76;0;08/04/2020;341;113;224;79;192;80;104;50;149;33;119;29
77;0;08/04/2020;734;198;631;178;438;133;366;105;286;62;262;73
78;0;08/04/2020;1040;193;598;219;594;142;344;134;432;49;250;84
79;0;08/04/2020;33;9;17;9;16;5;7;5;17;4;10;4
80;0;08/04/2020;353;72;201;101;181;47;101;66;168;25;96;35
81;0;08/04/2020;57;22;36;6;30;13;20;4;26;9;16;2
82;0;08/04/2020;20;11;6;3;16;8;3;3;4;3;3;0
83;0;08/04/2020;258;56;278;44;153;46;150;23;104;10;128;21
84;0;08/04/2020;82;22;96;19;52;17;42;10;30;5;54;9
85;0;08/04/2020;65;21;55;17;41;15;28;11;24;6;27;6
86;0;08/04/2020;60;24;43;19;40;19;21;8;20;5;22;11
87;0;08/04/2020;72;19;35;11;30;11;18;7;42;8;16;4
88;0;08/04/2020;248;38;238;131;128;26;119;78;119;12;117;53
89;0;08/04/2020;95;19;58;17;51;17;30;13;43;2;28;4
90;0;08/04/2020;209;43;204;96;130;33;115;55;79;10;89;41
91;0;08/04/2020;1125;222;394;163;615;149;236;103;491;66;158;59
92;0;08/04/2020;1987;456;1172;396;1216;339;659;233;759;114;505;160
93;0;08/04/2020;1499;242;714;402;878;171;429;245;603;65;281;154
94;0;08/04/2020;2046;335;873;453;1114;248;491;267;894;84;371;178
95;0;08/04/2020;894;167;821;307;561;119;453;203;328;47;365;104
971;0;08/04/2020;33;16;46;10;22;13;21;4;11;3;25;6
972;0;08/04/2020;49;19;43;4;34;14;20;3;15;5;23;1
973;0;08/04/2020;9;1;8;0;5;1;6;0;2;0;2;0
974;0;08/04/2020;39;4;55;0;23;4;23;0;16;0;32;0
976;0;08/04/2020;15;4;25;2;10;4;16;2;5;0;9;0
1;0;09/04/2020;125;33;112;35;72;21;64;20;49;10;44;15
2;0;09/04/2020;270;39;249;128;143;25;107;75;125;14;140;51
3;0;09/04/2020;57;22;66;10;27;13;28;5;28;9;38;5
4;0;09/04/2020;31;3;58;4;12;2;25;3;18;1;33;1
5;0;09/04/2020;54;15;61;2;31;9;35;0;23;6;26;2
6;0;09/04/2020;264;84;219;61;147;61;104;35;107;17;110;24
7;0;09/04/2020;107;23;166;38;60;15;67;24;36;4;83;9
8;0;09/04/2020;78;18;44;9;37;12;30;6;39;5;14;3
9;0;09/04/2020;18;4;11;1;9;3;6;0;7;1;4;1
10;0;09/04/2020;202;27;147;58;119;20;78;40;79;7;68;17
11;0;09/04/2020;69;15;84;36;42;13;42;27;27;2;42;9
12;0;09/04/2020;52;9;50;15;30;6;28;7;22;3;22;8
13;0;09/04/2020;1045;248;1108;154;622;172;549;83;412;76;533;68
14;0;09/04/2020;157;58;71;31;87;44;38;23;69;14;33;7
15;0;09/04/2020;27;9;9;0;17;6;5;0;10;3;4;0
16;0;09/04/2020;11;4;28;8;4;2;16;5;6;1;12;3
17;0;09/04/2020;80;23;54;21;52;19;26;13;28;4;28;8
18;0;09/04/2020;60;13;26;26;30;10;17;14;30;3;9;12
19;0;09/04/2020;44;10;29;12;24;7;16;12;19;2;13;0
21;0;09/04/2020;290;73;364;95;155;47;161;59;135;26;200;36
22;0;09/04/2020;64;12;49;16;30;9;24;9;34;3;25;7
23;0;09/04/2020;29;10;6;4;16;7;3;2;13;3;3;2
24;0;09/04/2020;22;6;25;1;15;4;14;1;7;2;11;0
25;0;09/04/2020;199;77;219;60;118;59;113;37;76;16;105;22
26;0;09/04/2020;241;66;182;71;146;49;94;43;93;15;88;28
27;0;09/04/2020;67;6;44;31;40;5;18;14;26;1;26;17
28;0;09/04/2020;186;29;132;37;92;20;68;21;85;8;57;16
29;0;09/04/2020;109;40;69;11;68;31;34;7;41;9;34;4
2A;0;09/04/2020;78;17;47;31;33;14;20;22;45;3;27;9
2B;0;09/04/2020;10;2;65;3;3;0;34;3;7;2;31;0
30;0;09/04/2020;106;41;72;21;64;34;43;14;42;7;29;7
31;0;09/04/2020;247;106;213;23;166;86;109;17;80;19;104;6
32;0;09/04/2020;28;5;16;8;15;4;11;6;13;1;5;2
33;0;09/04/2020;282;87;423;62;161;67;185;27;121;20;237;35
34;0;09/04/2020;224;66;324;62;133;52;137;39;90;14;186;23
35;0;09/04/2020;173;48;117;27;93;35;74;18;80;13;43;9
36;0;09/04/2020;66;11;19;25;39;5;4;16;27;6;15;9
37;0;09/04/2020;193;61;89;28;97;44;51;21;95;16;38;7
38;0;09/04/2020;236;60;190;38;129;49;95;25;105;11;93;13
39;0;09/04/2020;105;13;58;23;43;6;29;12;62;7;29;11
40;0;09/04/2020;30;14;29;8;19;9;17;5;11;5;12;3
41;0;09/04/2020;103;17;48;16;65;12;24;9;38;5;24;7
42;0;09/04/2020;472;95;266;95;273;76;140;72;198;19;122;23
43;0;09/04/2020;24;7;42;4;12;7;14;3;12;0;28;1
44;0;09/04/2020;274;66;197;57;149;52;112;34;123;14;84;23
45;0;09/04/2020;256;76;160;32;152;60;75;22;103;16;85;10
46;0;09/04/2020;20;9;43;1;12;6;18;0;8;3;25;1
47;0;09/04/2020;29;7;16;4;15;5;8;4;14;2;8;0
48;0;09/04/2020;6;1;11;0;3;1;7;0;3;0;4;0
49;0;09/04/2020;191;53;218;47;115;40;106;29;74;13;112;18
50;0;09/04/2020;71;23;44;19;40;20;22;7;27;2;21;11
51;0;09/04/2020;386;62;365;108;218;48;162;63;161;14;199;44
52;0;09/04/2020;97;16;61;36;52;10;36;14;45;6;25;22
53;0;09/04/2020;75;14;28;14;34;10;14;8;41;4;14;6
54;0;09/04/2020;470;160;362;141;248;113;171;83;205;40;174;57
55;0;09/04/2020;158;23;161;41;89;20;84;23;67;3;77;18
56;0;09/04/2020;147;33;162;55;91;30;87;32;56;3;75;23
57;0;09/04/2020;1022;166;737;429;540;110;369;251;477;56;363;175
58;0;09/04/2020;37;8;11;7;16;6;2;4;21;2;9;3
59;0;09/04/2020;912;268;576;213;488;197;313;119;412;69;261;92
60;0;09/04/2020;424;70;383;189;211;52;211;113;206;17;170;75
61;0;09/04/2020;72;14;79;14;44;13;31;9;28;1;48;5
62;0;09/04/2020;457;126;285;81;256;98;153;48;199;28;130;33
63;0;09/04/2020;73;36;70;15;52;27;34;7;21;9;36;8
64;0;09/04/2020;96;28;79;14;49;18;41;11;47;10;38;3
65;0;09/04/2020;64;7;37;7;34;5;21;2;29;2;16;5
66;0;09/04/2020;87;32;169;19;48;26;71;8;39;6;98;11
67;0;09/04/2020;1090;268;855;332;628;200;473;199;447;66;379;131
68;0;09/04/2020;1012;143;1170;561;528;95;629;351;482;48;540;206
69;0;09/04/2020;1197;263;896;282;616;199;442;155;577;64;423;118
70;0;09/04/2020;91;18;91;45;47;10;52;26;44;8;38;19
71;0;09/04/2020;188;35;222;81;95;26;108;46;92;9;113;35
72;0;09/04/2020;130;20;115;23;73;14;57;13;57;6;58;10
73;0;09/04/2020;121;27;168;20;67;21;82;12;53;6;85;8
74;0;09/04/2020;282;79;341;77;169;60;187;46;110;18;147;31
75;0;09/04/2020;3155;831;1824;770;1890;621;1077;506;1233;208;732;257
76;0;09/04/2020;330;111;240;84;186;79;112;54;144;32;127;30
77;0;09/04/2020;752;201;722;197;445;138;418;118;296;60;300;79
78;0;09/04/2020;1035;186;647;235;596;137;374;144;426;47;270;90
79;0;09/04/2020;36;10;18;9;19;6;8;5;17;4;10;4
80;0;09/04/2020;366;77;210;104;191;51;105;67;171;26;101;37
81;0;09/04/2020;51;22;43;7;24;14;25;4;26;8;18;3
82;0;09/04/2020;20;11;8;3;15;8;4;3;5;3;4;0
83;0;09/04/2020;268;56;296;46;152;46;163;24;115;10;133;22
84;0;09/04/2020;86;20;99;19;54;16;45;10;32;4;54;9
85;0;09/04/2020;71;23;57;17;45;17;30;11;26;6;27;6
86;0;09/04/2020;59;22;45;19;39;18;21;8;20;4;24;11
87;0;09/04/2020;74;20;37;11;32;12;19;7;42;8;17;4
88;0;09/04/2020;254;33;258;139;127;21;130;83;126;12;126;56
89;0;09/04/2020;91;18;62;18;50;16;32;13;40;2;30;5
90;0;09/04/2020;210;41;210;98;130;32;117;56;80;9;93;42
91;0;09/04/2020;1134;224;466;176;617;149;277;112;497;68;189;63
92;0;09/04/2020;1968;439;1309;419;1196;327;738;248;757;109;563;168
93;0;09/04/2020;1575;247;829;446;913;172;495;274;646;69;329;169
94;0;09/04/2020;2116;338;948;474;1134;252;539;278;947;83;396;188
95;0;09/04/2020;946;188;875;323;585;131;480;215;355;56;392;107
971;0;09/04/2020;33;17;49;10;22;13;23;4;11;4;26;6
972;0;09/04/2020;47;17;45;5;33;13;21;3;14;4;24;2
973;0;09/04/2020;9;1;12;0;4;1;8;0;5;0;4;0
974;0;09/04/2020;36;3;58;0;22;3;24;0;14;0;34;0
976;0;09/04/2020;16;4;26;2;11;4;16;2;5;0;10;0
1;0;10/04/2020;128;28;119;40;73;19;68;24;52;7;46;16
2;0;10/04/2020;280;44;263;136;144;27;114;78;134;17;147;56
3;0;10/04/2020;56;22;72;10;26;13;32;5;28;9;40;5
4;0;10/04/2020;35;4;60;4;13;2;27;3;21;2;33;1
5;0;10/04/2020;52;15;65;2;27;9;39;0;25;6;26;2
6;0;10/04/2020;278;83;231;63;155;59;110;36;113;18;116;25
7;0;10/04/2020;105;24;176;40;61;15;69;26;36;5;88;9
8;0;10/04/2020;74;16;52;11;35;11;33;7;37;4;19;4
9;0;10/04/2020;15;4;15;1;7;3;8;0;6;1;6;1
10;0;10/04/2020;213;27;196;59;123;20;103;41;86;7;92;17
11;0;10/04/2020;63;15;91;37;37;14;47;28;26;1;44;9
12;0;10/04/2020;50;8;56;17;29;4;31;9;21;4;25;8
13;0;10/04/2020;1089;267;1167;160;636;187;578;86;441;80;563;71
14;0;10/04/2020;165;59;72;32;89;45;39;24;75;14;33;7
15;0;10/04/2020;27;8;9;0;17;5;5;0;10;3;4;0
16;0;10/04/2020;10;4;30;8;3;3;18;5;6;0;12;3
17;0;10/04/2020;78;21;56;21;53;18;28;13;25;3;28;8
18;0;10/04/2020;66;14;30;28;32;11;19;16;34;3;11;12
19;0;10/04/2020;39;10;34;12;24;7;17;12;14;2;17;0
21;0;10/04/2020;350;79;370;102;184;50;162;63;165;29;205;39
22;0;10/04/2020;70;11;54;17;35;8;26;9;35;3;28;8
23;0;10/04/2020;29;13;9;4;16;9;5;2;13;4;4;2
24;0;10/04/2020;26;5;27;1;16;3;16;1;10;2;11;0
25;0;10/04/2020;190;75;234;65;113;57;120;41;72;16;113;23
26;0;10/04/2020;230;61;193;73;134;44;103;44;94;15;90;29
27;0;10/04/2020;87;8;47;33;54;7;19;16;33;1;27;17
28;0;10/04/2020;198;30;144;40;102;22;74;23;87;7;62;17
29;0;10/04/2020;110;40;78;12;70;32;41;7;40;8;36;5
2A;0;10/04/2020;72;14;51;32;30;12;22;22;42;2;29;10
2B;0;10/04/2020;6;1;69;3;2;0;35;3;4;1;34;0
30;0;10/04/2020;108;41;83;22;68;33;48;14;40;8;35;8
31;0;10/04/2020;250;97;228;26;167;83;118;19;82;14;110;7
32;0;10/04/2020;25;4;20;8;12;3;14;6;13;1;6;2
33;0;10/04/2020;281;81;338;60;157;63;160;26;124;18;178;34
34;0;10/04/2020;212;67;349;70;123;50;153;44;88;17;195;26
35;0;10/04/2020;171;42;124;36;92;32;78;22;79;10;46;14
36;0;10/04/2020;79;9;20;29;46;4;4;19;32;5;16;10
37;0;10/04/2020;193;61;95;30;95;44;55;22;96;15;40;8
38;0;10/04/2020;249;56;201;41;135;47;100;26;113;9;99;15
39;0;10/04/2020;111;16;60;24;44;9;31;12;67;7;29;12
40;0;10/04/2020;25;13;31;9;15;8;18;6;10;5;13;3
41;0;10/04/2020;93;17;58;18;57;12;32;11;36;5;26;7
42;0;10/04/2020;464;101;299;101;269;80;157;77;194;21;138;24
43;0;10/04/2020;24;7;45;5;12;7;14;3;12;0;31;2
44;0;10/04/2020;289;70;210;60;150;53;120;35;137;17;89;24
45;0;10/04/2020;265;79;181;34;154;61;86;24;110;18;95;10
46;0;10/04/2020;18;8;49;2;11;5;18;1;7;3;31;1
47;0;10/04/2020;28;6;17;4;14;5;9;4;14;1;8;0
48;0;10/04/2020;6;1;11;0;3;1;7;0;3;0;4;0
49;0;10/04/2020;194;54;233;49;119;42;114;30;73;12;119;19
50;0;10/04/2020;79;23;46;19;43;19;25;7;32;3;20;11
51;0;10/04/2020;392;60;389;118;220;46;174;71;167;14;209;46
52;0;10/04/2020;100;19;72;37;52;10;41;15;48;9;31;22
53;0;10/04/2020;74;14;30;17;34;10;15;9;40;4;15;8
54;0;10/04/2020;508;151;378;163;259;105;182;96;231;38;180;65
55;0;10/04/2020;154;24;174;42;87;21;91;24;66;3;83;18
56;0;10/04/2020;139;34;175;56;82;30;95;33;57;4;80;23
57;0;10/04/2020;1052;160;788;452;547;108;401;257;499;52;382;192
58;0;10/04/2020;48;10;13;7;22;7;2;4;26;3;11;3
59;0;10/04/2020;937;270;634;228;493;196;344;125;435;73;288;101
60;0;10/04/2020;434;70;409;196;212;52;226;118;216;17;181;76
61;0;10/04/2020;75;13;89;14;48;12;31;9;27;1;58;5
62;0;10/04/2020;446;104;334;92;246;79;177;54;198;25;154;38
63;0;10/04/2020;73;34;77;15;49;25;38;7;24;9;39;8
64;0;10/04/2020;97;28;86;16;48;18;47;12;49;10;39;4
65;0;10/04/2020;68;6;43;7;31;4;26;2;36;2;17;5
66;0;10/04/2020;79;33;182;20;44;24;76;9;35;9;106;11
67;0;10/04/2020;1106;266;942;343;616;194;531;205;475;70;408;136
68;0;10/04/2020;1023;132;1206;570;531;86;647;354;489;46;558;212
69;0;10/04/2020;1194;258;968;295;609;196;478;162;583;62;459;123
70;0;10/04/2020;89;17;98;47;45;10;57;27;44;7;40;20
71;0;10/04/2020;184;36;234;89;95;26;110;50;88;10;123;39
72;0;10/04/2020;143;21;110;24;79;15;55;13;64;6;55;11
73;0;10/04/2020;118;23;178;23;67;18;87;14;50;5;90;9
74;0;10/04/2020;282;76;354;78;169;57;194;46;110;18;153;32
75;0;10/04/2020;3181;841;2005;839;1893;622;1183;553;1257;216;807;279
76;0;10/04/2020;335;107;258;90;189;76;118;59;146;31;139;30
77;0;10/04/2020;782;208;779;213;463;144;444;129;308;61;328;84
78;0;10/04/2020;1042;191;685;250;609;144;395;150;420;45;287;98
79;0;10/04/2020;38;12;19;9;21;8;9;5;17;4;10;4
80;0;10/04/2020;359;76;233;110;184;51;119;72;171;25;110;38
81;0;10/04/2020;45;20;49;9;21;14;28;4;23;6;21;5
82;0;10/04/2020;19;10;11;3;14;8;6;3;5;2;5;0
83;0;10/04/2020;269;53;316;49;150;44;177;25;118;9;139;24
84;0;10/04/2020;81;19;107;21;46;16;51;12;35;3;56;9
85;0;10/04/2020;72;21;58;19;42;15;32;13;30;6;26;6
86;0;10/04/2020;56;23;52;19;37;19;25;8;19;4;27;11
87;0;10/04/2020;68;13;43;11;29;9;22;7;39;4;20;4
88;0;10/04/2020;277;34;248;157;135;21;130;94;141;13;116;63
89;0;10/04/2020;88;20;74;23;52;19;37;17;35;1;37;6
90;0;10/04/2020;222;37;226;102;134;28;126;58;87;9;100;44
91;0;10/04/2020;1184;233;515;192;641;156;306;120;525;71;209;70
92;0;10/04/2020;1974;434;1415;463;1178;324;804;272;779;106;603;188
93;0;10/04/2020;1597;251;929;480;915;174;564;293;665;71;359;184
94;0;10/04/2020;2190;328;1023;510;1163;236;573;301;998;88;436;200
95;0;10/04/2020;911;179;962;353;551;125;539;236;355;53;419;116
971;0;10/04/2020;33;19;50;10;23;14;23;4;10;5;27;6
972;0;10/04/2020;44;16;48;5;30;13;24;3;14;3;24;2
973;0;10/04/2020;9;1;13;0;4;1;8;0;5;0;5;0
974;0;10/04/2020;42;3;58;0;27;3;24;0;15;0;34;0
976;0;10/04/2020;20;4;24;2;12;4;16;2;8;0;8;0
1;0;11/04/2020;118;30;132;42;68;21;76;24;47;7;51;18
2;0;11/04/2020;279;43;285;140;144;27;125;80;133;16;158;58
3;0;11/04/2020;60;22;74;12;28;14;32;7;31;8;41;5
4;0;11/04/2020;35;5;63;4;12;2;30;3;22;3;33;1
5;0;11/04/2020;50;15;68;2;26;9;40;0;24;6;28;2
6;0;11/04/2020;267;79;249;67;147;57;119;39;111;16;124;26
7;0;11/04/2020;102;26;182;40;59;16;72;26;35;6;91;9
8;0;11/04/2020;69;17;57;13;33;11;35;8;34;5;22;5
9;0;11/04/2020;15;4;15;1;7;3;8;0;6;1;6;1
10;0;11/04/2020;219;27;196;61;126;20;103;42;89;7;92;18
11;0;11/04/2020;66;14;96;37;39;13;50;28;27;1;46;9
12;0;11/04/2020;55;6;58;17;30;4;31;9;25;2;27;8
13;0;11/04/2020;1064;264;1223;173;620;185;608;92;433;79;588;78
14;0;11/04/2020;166;55;82;33;86;41;46;25;79;14;36;8
15;0;11/04/2020;27;7;9;0;17;5;5;0;10;2;4;0
16;0;11/04/2020;13;7;30;8;6;6;18;5;6;0;12;3
17;0;11/04/2020;79;22;57;22;52;19;30;14;27;3;27;8
18;0;11/04/2020;66;15;35;29;33;11;20;17;33;4;15;12
19;0;11/04/2020;46;12;37;13;28;9;18;13;17;2;19;0
21;0;11/04/2020;325;72;402;106;167;47;180;66;156;25;219;40
22;0;11/04/2020;69;12;59;18;36;9;27;10;33;3;32;8
23;0;11/04/2020;31;14;9;4;18;10;5;2;13;4;4;2
24;0;11/04/2020;24;6;32;1;14;4;20;1;10;2;12;0
25;0;11/04/2020;186;77;248;68;106;58;130;44;75;16;117;23
26;0;11/04/2020;227;60;205;77;131;43;110;46;94;15;95;31
27;0;11/04/2020;94;8;47;33;57;7;19;16;37;1;27;17
28;0;11/04/2020;202;25;148;41;104;17;77;23;90;7;62;18
29;0;11/04/2020;116;39;82;13;73;31;44;8;42;8;37;5
2A;0;11/04/2020;70;14;53;33;30;12;22;23;40;2;31;10
2B;0;11/04/2020;6;1;69;3;2;0;35;3;4;1;34;0
30;0;11/04/2020;97;40;96;23;62;32;55;14;35;8;41;9
31;0;11/04/2020;239;97;249;28;158;84;133;19;80;13;116;9
32;0;11/04/2020;23;4;21;9;11;3;15;6;12;1;6;3
33;0;11/04/2020;308;102;362;64;175;76;175;28;133;26;186;36
34;0;11/04/2020;185;56;375;74;106;42;167;46;76;14;207;28
35;0;11/04/2020;172;38;135;39;91;27;82;24;80;11;53;15
36;0;11/04/2020;84;9;23;30;47;4;7;19;36;5;16;11
37;0;11/04/2020;200;64;103;33;98;43;60;24;100;19;43;9
38;0;11/04/2020;246;54;208;45;130;44;103;29;115;10;103;16
39;0;11/04/2020;112;14;65;26;46;8;33;12;66;6;32;14
40;0;11/04/2020;25;13;31;9;15;8;18;6;10;5;13;3
41;0;11/04/2020;93;15;61;21;56;11;33;13;37;4;28;8
42;0;11/04/2020;470;98;316;104;266;78;169;77;203;20;142;27
43;0;11/04/2020;30;7;45;5;12;7;14;3;18;0;31;2
44;0;11/04/2020;288;65;227;62;147;50;126;36;139;15;100;25
45;0;11/04/2020;277;74;198;39;164;58;95;26;112;16;103;13
46;0;11/04/2020;20;10;53;2;13;6;21;1;7;4;32;1
47;0;11/04/2020;27;6;17;4;15;6;9;4;12;0;8;0
48;0;11/04/2020;6;1;11;0;3;1;7;0;3;0;4;0
49;0;11/04/2020;203;46;242;53;122;35;115;32;79;11;127;21
50;0;11/04/2020;71;21;53;21;40;17;27;9;28;3;24;11
51;0;11/04/2020;366;58;419;131;207;45;187;80;154;13;226;50
52;0;11/04/2020;99;18;78;40;49;8;44;18;50;10;34;22
53;0;11/04/2020;65;11;39;18;33;8;17;9;32;3;22;9
54;0;11/04/2020;508;150;390;171;256;104;190;101;234;38;184;68
55;0;11/04/2020;143;21;183;45;79;18;95;27;63;3;88;18
56;0;11/04/2020;130;35;194;59;81;32;104;35;49;3;90;24
57;0;11/04/2020;1038;160;814;467;539;109;414;268;493;51;395;196
58;0;11/04/2020;53;10;15;7;23;7;3;4;30;3;12;3
59;0;11/04/2020;935;267;680;248;490;192;371;134;433;72;307;111
60;0;11/04/2020;444;71;427;204;218;53;237;121;219;17;187;82
61;0;11/04/2020;67;13;98;16;45;12;34;10;22;1;64;6
62;0;11/04/2020;434;98;352;96;237;74;184;56;195;24;165;40
63;0;11/04/2020;72;27;79;18;48;19;39;9;24;8;40;9
64;0;11/04/2020;92;27;95;16;44;18;54;12;48;9;41;4
65;0;11/04/2020;74;5;46;8;35;4;27;3;38;1;19;5
66;0;11/04/2020;78;29;185;21;46;20;75;9;32;9;110;12
67;0;11/04/2020;1107;261;955;346;615;191;539;207;477;68;414;137
68;0;11/04/2020;1026;139;1228;576;536;93;660;357;487;46;567;215
69;0;11/04/2020;1243;253;1029;305;619;194;515;166;622;59;482;129
